event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
RUS33085,"06 March 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Irkutsk,Bratsk,,Bratsk,56.1619,101.6218,1,Activatica,Other,"Around 6 March 2025 (as reported), residents of a dilapidated building protested and filmed a video for media in Bratsk (Irkutsk). Inhabitants complained about the state of an apartment building they live in, and an inaction of the local government.",0,"crowd size=no report",1741741878,9929
RUS33084,"05 March 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Russkaya Obshchina",Protesters,,,,"Protesters only",,643,Europe,Russia,Vologda,Vologda,,Vologda,59.2187,39.8886,3,7x7,National,"Around 5 March 2025 (as reported), members of the far-right group Russkaya Obshchina protested and filmed videos for media at several unidentified locations across the Vologda Region (coded as Vologda). People shared their support for the initiatives of the Vologda Governor who proposed abortion ban, except for medical reasons and after rape.",0,"crowd size=no report",1741741878,7388
RUS33089,"05 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Chechnya",Groznyy,,Grozny,43.3119,45.689,3,"Caucasian Knot",National,"On 5 March 2025, residents protested unstable water and gas supplies in several unidentified villages in the Republic of Chechnya (coded as Grozny). In Chechnya participating in any demonstration (even small municipal ones) poses significant risks for the locals, since the government of the republic is often engaging in violent persecution of protesters and their families.",0,"crowd size=no report",1741741878,10401
RUS33083,"04 March 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Women (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,Krasnodar,Timashevskiy,,Timashevsk,45.6085,38.9541,1,7x7,National,"Around 4 March 2025 (as reported), female animal rights activists protested and filmed a video addressed to Vladimir Putin in Timashevsk (Krasnodar). Activists demanded the stop of the 'chaos that is happening in the Federal Parliament'. At the moment of the protest, Duma is considering to allow 'euthanasia' of the stray animals.",0,"crowd size=no report",1741741878,4790
RUS33080,"03 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Saint Petersburg",Kurortnyy,,Beloostrov,60.1473,30.0098,1,Activatica,Other,"On 3 March 2025, residents protested in Beloostrov village within Saint Petersburg - Kurortnyy municipality. Locals protested the relocation of an asphalt concrete plant to the area. According to the protesters, such polluting enterprise could not be located next to the local ecologically protected area and many nature retreats that are located in the proximity.",0,"crowd size=no report",1741710325,
RUS33082,"03 March 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Ulyanovsk,Ulyanovsk,,Ulyanovsk,54.3282,48.3866,1,Kommersant,National,"Around 3 March 2025 (as reported), more than 50 animal rights activists protested and filmed a video addressed to Vladimir Putin in Ulyanovsk (Ulyanovsk). Activists spoke out against a parliament bill that would allow 'euthanasia' of stray animals.",0,"crowd size=more than 50",1741741878,9756
RUS33074,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Krasnodar,Krasnodar,,Druzhelyubny,45.124,39.1492,1,Activatica,Other,"On 2 March 2025, residents protested and filmed a video addressed to the local administration in the Druzhelyubny settlement within Krasnodar municipality. Locals complained about the lack of stable electricity supply in the area.",0,"crowd size=no report",1741710325,
RUS33075,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Chelyabinsk,Sosnovskiy,,Kurchatovets-2,55.1219,61.0233,1,Activatica,Other,"On 2 March 2025, residents protested and filmed a video addressed to Vladimir Putin and the head of the Investigative Committee in Kurchatovets-2 (Chelyabinsk). Residents complained about the variety of issues connected to the solid waste landfill that is located in the area.",0,"crowd size=no report",1741710325,
RUS33076,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Chelyabinsk,Sosnovskiy,,Poletayevo,55.0374,61.1179,1,Activatica,Other,"On 2 March 2025, residents protested and filmed a video addressed to Vladimir Putin and the head of the Investigative Committee in Poletayevo (Chelyabinsk). Residents complained about the variety of issues connected to the solid waste landfill that is located in the area.",0,"crowd size=no report",1741710325,
RUS33077,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Chelyabinsk,Sosnovskiy,,"Poletayevo Vtoroye",55.0772,61.1212,1,Activatica,Other,"On 2 March 2025, residents protested and filmed a video addressed to Vladimir Putin and the head of the Investigative Committee in Poletayevo Vtoroye (Chelyabinsk). Residents complained about the variety of issues connected to the solid waste landfill that is located in the area.",0,"crowd size=no report",1741710325,
RUS33079,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Chelyabinsk,Sosnovskiy,,Chipyshevo,55.0171,61.1127,1,Activatica,Other,"On 2 March 2025, residents protested and filmed a video addressed to Vladimir Putin and the head of the Investigative Committee in Chipyshevo (Chelyabinsk). Residents complained about the variety of issues connected to the solid waste landfill that is located in the area.",0,"crowd size=no report",1741710325,
RUS33087,"02 March 2025",2025,1,Demonstrations,Protests,"Protest with intervention","Protesters (Russia)","KPRF: Communist Party of the Russian Federation; NBP: National Bolshevik Party",Protesters,"Police Forces of Russia (2000-)",,"State forces","State forces-Protesters",,643,Europe,Russia,Perm,Permskiy,,Perm,58.0174,56.2855,1,Activatica,Other,"On 2 March 2025, more than 150 locals protested on a rally organized by the local branch of the Communist Party of Russia in Perm (Perm). Residents protested the development on the territory of a local sports center. Members of the National Bolshevik Party tried to join the protesters, but the police prevented them from joining.",0,"crowd size=more than 150",1741741878,2510
UKR211919,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Cherkasy,Cherkaskyi,Cherkaska,Cherkasy,49.4285,32.0621,1,"Suspilne Media",National,"On 2 March 2025, demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Cherkasy, demanding prisoner exchanges be intensified.",0,"crowd size=no report",1741741886,6701
UKR211920,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Obolonskyi",50.5286,30.4749,1,"Suspilne Media",National,"On 2 March 2025, demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Kyiv - Obolonskyi, demanding prisoner exchanges be intensified.",0,"crowd size=no report",1741741886,18998
UKR211921,"02 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"Suspilne Media",National,"On 2 March 2025, 220 demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Mykolaiv, demanding prisoner exchanges be intensified.",0,"crowd size=220",1741741886,9019
RUS33073,"01 March 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Barnaul,,Barnaul,53.3606,83.7636,1,"Activatica; Moskovskij Komsomolets",Other-National,"On 1 March 2025, around 35 Siberian shared equity holders protested in Barnaul (Altai). People who were allegedly defrauded by the construction company with projects across Siberia spoke out against the company and demanded governmental involvement into the issue to stop the bankruptcy procedure that the company started.",0,"crowd size=around 35",1741741878,13427
RUS33088,"28 February 2025",2025,1,Demonstrations,Protests,"Protest with intervention","Protesters (Russia)",,Protesters,"Police Forces of Russia (2000-)",,"State forces","State forces-Protesters",,643,Europe,Russia,Sverdlovsk,Polevskoy,,Polevskoy,56.4915,60.2456,1,"OVD Info",National,"On 28 February 2025, a man was arrested on a protest demonstration in Polevskoy (Sverdlovsk). According to the detainee, the police decided to arrest him when he was already leaving a demonstration against the liquidation of a local bus station. The man was charged with 'violation of the rules of the demonstration by the participant'.",0,"crowd size=no report",1741741878,7229
RUS33081,"27 February 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Kursk,Rylskiy,,Ivanovskoye,51.6114,34.949,1,Activatica,Other,"Around 27 February 2025 (between 26 February - 28 February), residents protested and filmed a video addressed to the acting Governor of the region in Ivanovskoye (Kursk). Locals asked the head of the region to assign them compensation for property destroyed during hostilities in the region. Ivanovskoye is one of the settlements in Kursk residents of which are not entitled to the reimbursement, despite the fact that residents of many surrounding settlements are.",0,"crowd size=no report",1741741878,349
RUS32422,"26 February 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Women (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Dagestan",Kizilyurtovskiy,,Aknada,43.3788,46.9094,1,7x7,National,"Around 26 February 2025 (as reported), female residents protested in Aknada (Republic of Dagestan). Locals complained about 'unacceptable' living conditions in the village and a variety of utility issues.",0,"crowd size=no report",1741718277,1096
RUS32529,"26 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Students (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,"Nizhny Novgorod","Nizhniy Novgorod",,"Nizhny Novgorod",56.2946,43.9412,1,7x7,National,"On 26 February 2025, students took to the streets to share their support for the state's demographics improvement measures in Nizhny Novgorod (Nizhny Novgorod.",0,"crowd size=no report",1741718278,13233
UKR210495,"26 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Pecherskyi",50.427,30.5454,1,ZMINA,Other,"On 26 February 2025, representatives of the Civilians in Captivity NGO together with the families of prisoners of war held a peaceful rally in Kyiv - Pecherskyi, Kyiv, to remind about thousands of Ukrainian civilians have been held in Russian captivity.",0,"crowd size=no report",1741718288,12966
RUS32359,"24 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Perm,Permskiy,,Perm,58.0174,56.2855,1,Activatica,Other,"On 24 February 2025, 15 people protested the war in the Kirovskiy micro district of Perm (Perm). The protest, dedicated to the three-year anniversary of the Russian full-scale invasion, was sanctioned by the local authorities. Despite that, according to the protesters, the mayor's office and the police attempted to create a bunch of roadblocks to prevent the action from happening. The rally was approved to happen in a hardly accessible part of the city, the sanctioned timeframe was changed shortly prior to its happening, and, during the protest, local police turned off electricity in the park where the protest took place. Police maintained heavy presence around the protesters, however didn't physically intervene.",0,"crowd size=15",1741718277,2510
RUS32420,"23 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Vladimir,Vladimir,,Vladimir,56.1365,40.3966,1,Activatica,Other,"On 23 February 2025, residents protested and blocked the road with their bodies in the Dobroe micro district of Vladimir (Vladimir). Locals attempted to stop workers from reaching the construction site. Once in 2023 local residents also took to the streets to protest the development plan for the area.",0,"crowd size=no report",1741718277,13203
UKR209895,"23 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Khmelnytskyi,Kamianets-Podilskyi,Kamianets-Podilska,Kamianets-Podilskyi,48.6845,26.5856,1,"Suspilne Media",National,"On 23 February 2025, around 100 demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Kamianets-Podilskyi, Khmelnytskyi, demanding to intensify the process of Mariupol's prisoners exchange.",0,"crowd size= around 100",1741718286,5209
UKR209934,"23 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"Suspilne Media",National,"On 23 February 2025, around 200 demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Mykolaiv, demanding to intensify the process of Mariupol's prisoners exchange.",0,"crowd size= around 200",1741718286,9019
UKR209959,"23 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Volyn,Volodymyrskyi,Novovolynska,Novovolynsk,50.7258,24.1627,1,"Suspilne Media",National,"On 23 February 2025, around 100 demonstrators held a peaceful protest 'Don't be silent! Captivity kills!' in Novovolynsk, Volyn, demanding to intensify the process of Mariupol's prisoners exchange.",0,"crowd size= around 100",1741718286,1737
RUS32262,"22 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Irkutsk,Irkutsk,,Irkutsk,52.2978,104.2964,1,"7x7; Activatica",Other-National,"On 22 February 2025, more than 1000 locals protested in Irkutsk (Irkutsk). Protesters demanded the cancellation of the recently introduced differentiated tariffs for electricity. A journalist who was on their way to cover the protest was attacked (coded separately) before they were able to reach the site.",0,"crowd size=more than 1000",1741718277,12716
RUS32264,"22 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Komi",Syktyvkar,,Syktyvkar,61.6764,50.8099,1,Activatica,Other,"On 22 February 2025, locals protested in a series of one-man protests in the Orbita micro district in Syktyvkar (Republic of Komi). Residents spoke out against the nightclub that is operational in the area, and according to the protesters the establishment breaks the noise laws and attracts the 'hostile crowd'.",0,"crowd size=no report",1741718277,11560
